"Name","FamilyName"
"Cantarell-Bold.otf","Cantarell"
"Cantarell-ExtraBold.otf","Cantarell"
"Cantarell-Light.otf","Cantarell"
"Cantarell-Regular.otf","Cantarell"
"Cantarell-Thin.otf","Cantarell"
"DejaVuMathTeXGyre.ttf","DejaVuMathTeXGyre"
"DejaVuSans-Bold.ttf","DejaVuSans"
"DejaVuSans-BoldOblique.ttf","DejaVuSans"
"DejaVuSans-ExtraLight.ttf","DejaVuSans"
"DejaVuSans-Oblique.ttf","DejaVuSans"
"DejaVuSans.ttf","DejaVuSans"
"DejaVuSansCondensed-Bold.ttf","DejaVuSansCondensed"
"DejaVuSansCondensed-BoldOblique.ttf","DejaVuSansCondensed"
"DejaVuSansCondensed-Oblique.ttf","DejaVuSansCondensed"
"DejaVuSansCondensed.ttf","DejaVuSansCondensed"
"DejaVuSansMono-Bold.ttf","DejaVuSansMono"
"DejaVuSansMono-BoldOblique.ttf","DejaVuSansMono"
"DejaVuSansMono-Oblique.ttf","DejaVuSansMono"
"DejaVuSansMono.ttf","DejaVuSansMono"
"DejaVuSerif-Bold.ttf","DejaVuSerif"
"DejaVuSerif-BoldItalic.ttf","DejaVuSerif"
"DejaVuSerif-Italic.ttf","DejaVuSerif"
"DejaVuSerif.ttf","DejaVuSerif"
"DejaVuSerifCondensed-Bold.ttf","DejaVuSerifCondensed"
"DejaVuSerifCondensed-BoldItalic.ttf","DejaVuSerifCondensed"
"DejaVuSerifCondensed-Italic.ttf","DejaVuSerifCondensed"
"DejaVuSerifCondensed.ttf","DejaVuSerifCondensed"
"Inconsolata.otf","Inconsolata"
"Lato-Black.ttf","Lato"
"Lato-BlackItalic.ttf","Lato"
"Lato-Bold.ttf","Lato"
"Lato-BoldItalic.ttf","Lato"
"Lato-Hairline.ttf","Lato"
"Lato-HairlineItalic.ttf","Lato"
"Lato-Heavy.ttf","Lato"
"Lato-HeavyItalic.ttf","Lato"
"Lato-Italic.ttf","Lato"
"Lato-Light.ttf","Lato"
"Lato-LightItalic.ttf","Lato"
"Lato-Medium.ttf","Lato"
"Lato-MediumItalic.ttf","Lato"
"Lato-Regular.ttf","Lato"
"Lato-Semibold.ttf","Lato"
"Lato-SemiboldItalic.ttf","Lato"
"Lato-Thin.ttf","Lato"
"Lato-ThinItalic.ttf","Lato"
"LiberationMono-Bold.ttf","LiberationMono"
"LiberationMono-BoldItalic.ttf","LiberationMono"
"LiberationMono-Italic.ttf","LiberationMono"
"LiberationMono-Regular.ttf","LiberationMono"
"LiberationSans-Bold.ttf","LiberationSans"
"LiberationSans-BoldItalic.ttf","LiberationSans"
"LiberationSans-Italic.ttf","LiberationSans"
"LiberationSans-Regular.ttf","LiberationSans"
"LiberationSerif-Bold.ttf","LiberationSerif"
"LiberationSerif-BoldItalic.ttf","LiberationSerif"
"LiberationSerif-Italic.ttf","LiberationSerif"
"LiberationSerif-Regular.ttf","LiberationSerif"
"NotoColorEmoji.ttf","NotoColorEmoji"
